ARRIVI - ESTERI;PRESENZE - ESTERI;PERMANENZA MEDIA ESTERI;ARRIVI - ITALIANI;PRESENZE - ITALIANI;PERMANENZA MEDIA ITALIANI
25731;153638;5,970930007;119582;618205;5,169716178
12812;72104;5,627848892;48679;128717;2,644199758
2683;11625;4,332836377;34938;103936;2,974869769
1488;6924;4,653225806;35851;107242;2,991325207
1351;6584;4,873427091;28206;56796;2,013614125
1375;6627;4,819636364;35345;65610;1,856273872
2858;11831;4,139608118;33489;65716;1,962315984
8279;28389;3,429037323;42664;77440;1,815113445
23980;103691;4,324061718;52112;104365;2,002705711
34614;191823;5,541775004;173249;678517;3,916426646
51130;292179;5,714433796;322289;1766326;5,480565579
39213;223346;5,695713156;364872;2420819;6,634707514
39934;219916;5,506986528;132009;618356;4,684195775
17606;86140;4,892650233;48705;89283;1,833138281
3269;10289;3,147445702;32818;62268;1,897373393
2418;8404;3,475599669;32625;60192;1,844965517
2498;10131;4,055644516;35149;63727;1,813053003
2191;9110;4,157918759;41382;73025;1,764656131
4899;15706;3,2059604;39159;70439;1,798794658
11621;33771;2,906032183;52905;94631;1,788696721
38420;138886;3,614940135;74047;159423;2,152997421
48375;243654;5,036775194;178330;719375;4,033953906
66596;342380;5,141149619;336733;1775812;5,273650043
55982;316519;5,653942339;448951;2820429;6,282264657
48638;252267;5,186623628;130409;601959;4,615931416
22439;104064;4,637639824;52669;99129;1,882112818
3700;11194;3,025405405;37230;69589;1,869164652
2850;8709;3,055789474;36423;66665;1,830299536
2641;8225;3,114350625;35222;65807;1,868349327
2866;8632;3,011863224;39457;70434;1,785082495
5413;14680;2,711989655;43762;78265;1,788423747
13782;39842;2,890872152;56455;126834;2,246638916
40018;163614;4,08851017;77803;175991;2,262007892
51147;253733;4,960857919;214108;851438;3,976675323
60484;343431;5,678047087;291906;1820466;6,236480237
53051;291914;5,502516446;369307;2329691;6,308277395
59666;301439;5,052106727;148132;726486;4,90431507
31925;147914;4,633171496;58938;134387;2,280141844
6259;18682;2,984821857;42881;81566;1,902147804
4124;14002;3,395247333;40732;76497;1,878056565
4923;16053;3,260816575;42949;81543;1,898600666
4984;15879;3,185995185;41960;77982;1,858484271
8668;25974;2,996538994;44863;85153;1,89806745
23979;65617;2,736436048;60662;119131;1,963848867
51689;190115;3,678055292;101666;198020;1,947750477
71736;342527;4,774827144;216823;872243;4,022834293
80643;443734;5,502449066;303647;1815411;5,97868907
